2025-07-18 07:20:52,554 | FPS: 900.3 | Frame Time: 1.111ms | Memory: 56.1MB
2025-07-18 07:20:53,554 | FPS: 836.2 | Frame Time: 1.196ms | Memory: 56.1MB
2025-07-18 07:20:54,554 | FPS: 908.3 | Frame Time: 1.101ms | Memory: 56.1MB
2025-07-18 07:20:55,554 | FPS: 865.0 | Frame Time: 1.156ms | Memory: 56.1MB
2025-07-18 07:20:56,555 | FPS: 766.4 | Frame Time: 1.305ms | Memory: 56.1MB
2025-07-18 07:20:57,555 | FPS: 781.4 | Frame Time: 1.280ms | Memory: 56.1MB
2025-07-18 07:20:58,556 | FPS: 901.8 | Frame Time: 1.109ms | Memory: 56.1MB
2025-07-18 07:20:59,556 | FPS: 766.9 | Frame Time: 1.304ms | Memory: 56.1MB
2025-07-18 07:21:00,557 | FPS: 856.5 | Frame Time: 1.168ms | Memory: 56.1MB
2025-07-18 07:21:01,558 | FPS: 871.3 | Frame Time: 1.148ms | Memory: 56.1MB
2025-07-18 07:21:02,558 | FPS: 837.0 | Frame Time: 1.195ms | Memory: 56.1MB
2025-07-18 07:21:03,558 | FPS: 767.3 | Frame Time: 1.303ms | Memory: 56.1MB
2025-07-18 07:21:04,559 | FPS: 814.3 | Frame Time: 1.228ms | Memory: 56.1MB
2025-07-18 07:21:05,560 | FPS: 829.4 | Frame Time: 1.206ms | Memory: 56.1MB
2025-07-18 07:21:06,561 | FPS: 901.8 | Frame Time: 1.109ms | Memory: 56.1MB
2025-07-18 07:21:07,561 | FPS: 836.7 | Frame Time: 1.195ms | Memory: 56.1MB
2025-07-18 07:21:08,562 | FPS: 862.5 | Frame Time: 1.159ms | Memory: 56.1MB
2025-07-18 07:21:09,562 | FPS: 829.6 | Frame Time: 1.205ms | Memory: 56.1MB
2025-07-18 07:21:10,563 | FPS: 860.2 | Frame Time: 1.163ms | Memory: 56.1MB
2025-07-18 07:21:11,563 | FPS: 834.4 | Frame Time: 1.199ms | Memory: 56.1MB
2025-07-18 07:21:12,564 | FPS: 834.4 | Frame Time: 1.199ms | Memory: 56.1MB
2025-07-18 07:21:13,564 | FPS: 862.7 | Frame Time: 1.159ms | Memory: 56.1MB
2025-07-18 07:21:14,565 | FPS: 898.9 | Frame Time: 1.112ms | Memory: 56.1MB
2025-07-18 07:21:15,565 | FPS: 863.6 | Frame Time: 1.158ms | Memory: 56.1MB
2025-07-18 07:21:16,566 | FPS: 867.5 | Frame Time: 1.153ms | Memory: 56.1MB
2025-07-18 07:21:17,566 | FPS: 855.8 | Frame Time: 1.168ms | Memory: 56.1MB
